priority,item_id,title,category_id,category_path,schema_aspects,present,missing_required,missing_recommended,missing_required_names,missing_recommended_names
11,256380454290,"GEAR AID Ni Glo 2"" Glowing Keychain for Camping, SCUBA, Fishing, Multi Colors",52373,"Clothing, Shoes & Accessories|Men|Men's Accessories|Key Chains, Rings & Cases",20,9,0,11,,"Character; Theme; Character Family; Accents; Vintage; Personalize; Handmade; Pattern; Features; Number of Pieces; Personalization Instructions"
11,256510047925,"Recurved Blade Machete with Zigzag Serrated Spine and Paracord Handle 15""",73522,"Collectibles|Knives, Swords & Blades|Collectible Fixed Blade Knives|Modern Fixed Blade|Factory Manufactured",15,4,0,11,,"Blade Color; Blade Type; Tang; Handle Material; Blade Length; Blade Material; Blade Edge; Original/Reproduction; Dexterity; Country of Origin; California Prop 65 Warning"
11,256510047969,"High Speed Steel Step Drill Bits Locking Hex Shank Assorted - 3pc",50382,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Drill Bits",21,10,0,11,,"Suitable For; Number of Items in Set; Package Quantity; Application; Item Diameter; Manufacturer Warranty; Item Weight; Item Depth; California Prop 65 Warning; Unit Quantity; Unit Type"
11,256510048021,"Beille Rubber 4 in 1 Non Slip Multipurpose Adjustable Easy Grip Jar Opener Tool",20688,"Home & Garden|Kitchen, Dining & Bar|Bar Tools & Accessories|Corkscrews & Openers",21,10,0,11,,"Style; Character Family; Personalize; Occasion; Wood Tone; Theme; Character; Item Weight; Unit Quantity; Unit Type; Personalization Instructions"
11,256525915629,"SE 8235DD4 Diamond Burr Set 46 Grit, 50-Piece",50382,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Drill Bits",21,10,0,11,,"Suitable For; Number of Items in Set; Package Quantity; Application; Item Diameter; Manufacturer Warranty; Item Weight; Item Depth; California Prop 65 Warning; Unit Quantity; Unit Type"
11,256525915648,"228pc Universal Deluxe Rotary Tool Accessory Set for Sanding Polishing Cutting",260207,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Rotary Tool Accessories",23,12,0,11,,"Application; Voltage; Connection Type; Package Quantity; Number of Items in Set; Manufacturer Warranty; Item Diameter; Item Depth; Item Weight; Unit Quantity; Unit Type"
11,256525915737,"2pc Mini High Speed Steel Saw Blade And Mandrel 1/4 Inch Arbor Size .8mm",122838,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Saw Blades|Other Saw Blades",21,10,0,11,,"Package Quantity; Teeth per Inch; Blade Material; Blade Diameter; Material Cut; Number of Teeth; Manufacturer Warranty; Item Diameter; Item Weight; Unit Quantity; Unit Type"
11,256525915818,"High Speed Steel Drill Bits 1/16 Inch Shank #53 10pc",50382,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Drill Bits",21,10,0,11,,"Suitable For; Number of Items in Set; Package Quantity; Application; Item Diameter; Manufacturer Warranty; Item Weight; Item Depth; California Prop 65 Warning; Unit Quantity; Unit Type"
11,256525915855,"High Speed Steel Drill Bits 1/16 Inch Shank 10pc 57",50382,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Drill Bits",21,10,0,11,,"Suitable For; Number of Items in Set; Package Quantity; Application; Item Diameter; Manufacturer Warranty; Item Weight; Item Depth; California Prop 65 Warning; Unit Quantity; Unit Type"
11,256525915860,"Black Stretch Cord with Black Ball 8 Inch Length - 100 Pack",85917,"Home & Garden|Tools & Workshop Equipment|Workshop Equipment|Tie Downs & Straps",20,9,0,11,,"End Type; Tie Material; Breaking Strength; End Material; Working Load Limit; Manufacturer Warranty; Item Diameter; California Prop 65 Warning; Item Weight; Unit Quantity; Unit Type"
11,257018082936,"ASR Outdoor 360 Degree Standard Plug-in UV Light Bug Zapper Metal Hanging Hook",181040,"Home & Garden|Yard, Garden & Outdoor Living|Weed & Pest Control|Insect & Grub Control|Insect Zappers",24,13,0,11,,"Pest Type; Features; Voltage; Item Height; Item Length; Item Width; Year Manufactured; Model; Item Weight; Power; Cable Length"
10,256470618737,"Zak Tool ZT55-C Tactical Key Ring Holder Connector Clip for Law Enforcement",52373,"Clothing, Shoes & Accessories|Men|Men's Accessories|Key Chains, Rings & Cases",20,10,0,10,,"Character; Theme; Character Family; Accents; Vintage; Personalize; Handmade; Pattern; California Prop 65 Warning; Personalization Instructions"
10,256476123930,"Universal Tool Professional Power Extension Socket Bits for Drills 3pc Set",50382,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Drill Bits",21,11,0,10,,"Suitable For; Number of Items in Set; Package Quantity; Application; Item Diameter; Manufacturer Warranty; Item Weight; Item Depth; Unit Quantity; Unit Type"
10,256508244300,"Razor Knife Blade Refill Pack Replacement Blades for 8828 Hobby Knife 10pc",39057,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Knives & Blades",19,9,0,10,,"Number of Pieces; Handle Material; Blade Material; Blade Width; Manufacturer Warranty; Item Diameter; California Prop 65 Warning; Item Weight; Unit Quantity; Unit Type"
10,256508244362,"ASR Outdoor Brass Body Nickel Plated Pull Apart Key Ring Travel Accessory",52373,"Clothing, Shoes & Accessories|Men|Men's Accessories|Key Chains, Rings & Cases",20,10,0,10,,"Character; Theme; Character Family; Accents; Vintage; Personalize; Handmade; Pattern; Number of Pieces; Personalization Instructions"
10,256508244371,"6 Pack Portable Outdoor Camping Survival Wire Hand Saw With Two 35 cm Blades",75237,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Camping Saws",20,10,0,10,,"Handle Material; Blade Material; Blade Length; Closed Length; Handle Length; Manufacturer Warranty; Item Weight; Overall Length; Unit Quantity; Unit Type"
10,256508244410,"Jumbo 6.5"" XL Carabiner Key Chain  - Purple",52373,"Clothing, Shoes & Accessories|Men|Men's Accessories|Key Chains, Rings & Cases",20,10,0,10,,"Character; Theme; Character Family; Accents; Vintage; Personalize; Handmade; Pattern; Number of Pieces; Personalization Instructions"
10,256508244478,"Universal Tool Damaged Screw Extractor Set - 4 Pieces Assorted Sizes",50382,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Drill Bits",21,11,0,10,,"Suitable For; Number of Items in Set; Package Quantity; Application; Item Diameter; Manufacturer Warranty; Item Weight; Item Depth; Unit Quantity; Unit Type"
10,256508244508,"Tri Fold Steel Shovel Multi Functional Outdoor Use 23 Inch",178983,"Home & Garden|Yard, Garden & Outdoor Living|Garden Hand Tools & Equipment|Shovels",21,11,0,10,,"Blade Material; Blade Length; Handle Size; Application; Blade Width; Manufacturer Warranty; California Prop 65 Warning; Item Weight; Unit Quantity; Unit Type"
10,256509144716,"Universal Handy Helpers Fruit and Vegetable Peeler Dishwasher Safe (2 Colors)",20641,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Peelers & Slicers",18,8,0,10,,"Set Includes; Food Compatibility; Number of Items in Set; Features; Country of Origin; Item Weight; Making Method; California Prop 65 Warning; Unit Quantity; Unit Type"
10,256510041696,"ASR Outdoor 9 in 1 Multitool Folding Pocket Knife with G10 Handle, Black",75236,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Multi-Tools",20,10,0,10,,"Tools Included; Number of Tools; Blade Edge; Blade Length; Closed Length; Item Weight; Manufacturer Warranty; Overall Length; Unit Quantity; Unit Type"
10,256510041714,"Embroidery Shears Sewing Tailors Sharp Scissors Craft and Hobby Kelly Angular",101915,"Health & Beauty|Salon & Spa Equipment|Scissors & Shears",17,7,0,10,,"Suitable For; Material; Hair Type; Manufacturer Warranty; Color; Shape; Department; California Prop 65 Warning; Unit Quantity; Unit Type"
10,256510047655,"Key Chain ID Pill Holder Plastic Coated Interior O Ring Cap (Assorted Colors)",75041,"Health & Beauty|Health Care|Pill Boxes, Pill Cases",17,7,0,10,,"Number of Days; Number of Daily Compartments; Features; Theme; Personalize; California Prop 65 Warning; Customized; Personalization Instructions; Unit Quantity; Unit Type"
10,256510048035,"Tooltreaux High Speed Stainless Steel Drill Bits Set 1.05 to 2mm 15 Pieces",50382,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Drill Bits",21,11,0,10,,"Suitable For; Number of Items in Set; Package Quantity; Application; Item Diameter; Manufacturer Warranty; Item Weight; Item Depth; Unit Quantity; Unit Type"
10,256525915652,"Flatline Ops Nylon Hanging Strap Bag Attachment Snap Hook (Tan)",177887,"Sporting Goods|Hunting|Range & Shooting Equipment|Benches & Rests",21,11,0,10,,"Sport/Activity; For Gun Type; Gauge/Caliber; Color; Handedness; Item Weight; Manufacturer Warranty; Set Includes; Unit Quantity; Unit Type"
10,256525915678,"GEAR AID Quick Dry Microfiber Towel for Travel, Camping, OD Green, XL, 35"" x 62""",181398,"Sporting Goods|Camping & Hiking|Camping Hygiene & Sanitation|Camping Towels",20,10,0,10,,"Suitable For; California Prop 65 Warning; Care Instructions; Department; Item Weight; Number in Pack; Pattern; Set Includes; Unit Quantity; Unit Type"
10,256525915808,"Small Field Knife Pocket Fishing Tackle Box Grooved Angle Sharpening Stone",66826,"Sporting Goods|Hunting|Knives & Tools|Sharpening Tools & Accessories",21,11,0,10,,"Suitable For; Number in Pack; Compatible Model; Manufacturer Warranty; California Prop 65 Warning; Item Depth; Item Diameter; Item Weight; Unit Quantity; Unit Type"
10,256525915852,"ASR Outdoor 3.75 Inch Black Aluminium Body Pocket Knife",48818,"Collectibles|Knives, Swords & Blades|Collectible Folding Knives|Modern Folding Knives|Factory Manufactured",19,9,0,10,,"Number of Blades; Blade Type; Opening Mechanism; Product Line; Blade Edge; Lock Type; Tools; Blade Range; Original/Reproduction; Dexterity"
10,256525915867,"ASR Outdoor 8.25 Inch Rescue Knife with Belt Clip Seat Belt Cutter",48818,"Collectibles|Knives, Swords & Blades|Collectible Folding Knives|Modern Folding Knives|Factory Manufactured",19,9,0,10,,"Number of Blades; Blade Type; Opening Mechanism; Product Line; Blade Edge; Lock Type; Tools; Blade Range; Original/Reproduction; Dexterity"
10,256525915869,"Gear Aid Wilderness Travel Medicine Emergency Guide",75035,"Health & Beauty|Health Care|First Aid|Kits & Bags",20,10,0,10,,"Main Purpose; Expiration Date; Labels & Certifications; Set Includes; Department; Personalize; California Prop 65 Warning; Personalization Instructions; Unit Quantity; Unit Type"
10,256525915897,"16pc Ratchet Screwdriver Grip Handle Set with Magnetized Bits",42255,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Screwdrivers & Nutdrivers",21,11,0,10,,"Number of Pieces; Drive Type; Star Size; System of Measurement; Manufacturer Warranty; Color; Item Diameter; Item Weight; Unit Quantity; Unit Type"
10,256546395553,"10Pack Standard Hex Shank Magnetic Bit Extension Holder for Power Tools",50382,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Drill Bits",21,11,0,10,,"Suitable For; Package Quantity; Application; Item Diameter; Manufacturer Warranty; Item Weight; Item Depth; California Prop 65 Warning; Unit Quantity; Unit Type"
9,256508244319,"ToolTreaux 2 Inch Metal Spring Heavy Duty Clamps Set Rubber Tipped Grip 6pc",20761,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Clamps & Vises",21,12,0,9,,"Number of Pieces; Jaw Size; Manufacturer Warranty; Personalize; Item Diameter; Item Weight; Personalization Instructions; Unit Quantity; Unit Type"
9,256508244347,"Heavy Duty AA Steadfast Batteries - 12 Pack",50602,"Consumer Electronics|Multipurpose Batteries & Power|Single Use Batteries",14,5,0,9,,"Battery Size; Chemical Composition; Voltage; Amp Hours; Application; Unit Quantity; Unit Type; Manufacturer Warranty; Expiration Date"
9,256510047590,"24 Piece set ASR Outdoor Gun Cleaning Kit Brass Punches Brushes and Patches",22700,"Sporting Goods|Hunting|Gun Smithing & Maintenance|Cleaning Supplies",20,11,0,9,,"Set Includes; Number of Items in Set; Gauge/Caliber; Vintage; Main Purpose; Item Weight; Number in Pack; Unit Quantity; Unit Type"
9,256510047607,"ASR Outdoor 66pc Pistol Cleaning Kit In Zippered Shell Case",22700,"Sporting Goods|Hunting|Gun Smithing & Maintenance|Cleaning Supplies",20,11,0,9,,"Set Includes; Number of Items in Set; Gauge/Caliber; Vintage; Main Purpose; Item Weight; Number in Pack; Unit Quantity; Unit Type"
9,256510047611,"100 PC Emergency Waterproof First Aid Dry Sack Kit Camping Outdoors",75035,"Health & Beauty|Health Care|First Aid|Kits & Bags",20,11,0,9,,"Main Purpose; Expiration Date; Labels & Certifications; Set Includes; Department; Personalize; Personalization Instructions; Unit Quantity; Unit Type"
9,256514435542,"GEAR AID Tent Waterproofing Spray and Sealer for Nylon Tents, Tent Fabric Kit",36120,"Sporting Goods|Camping & Hiking|Tents & Canopies|Tent & Canopy Accessories",16,7,0,9,,"Number in Pack; Color; Mounting Type; Suitable For; Country of Origin; Item Weight; California Prop 65 Warning; Unit Quantity; Unit Type"
9,256525915657,"Professional Quality Tapered Diamond File Assorted Grits 10 Piece Set",178974,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Files",19,10,0,9,,"Number of Pieces; Coarseness; Cut; Manufacturer Warranty; Item Diameter; California Prop 65 Warning; Item Weight; Unit Quantity; Unit Type"
9,256525915681,"Gear Aid Paracord and Carabiner 5.5 mm Heavy-Duty Cord for Camping - 100 Feet",181413,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Paracord & Paracord Supplies",19,10,0,9,,"Features; Number in Pack; Number of Strands; Suitable For; Tensile Strength; Item Weight; Rope Diameter; Unit Quantity; Unit Type"
9,256525915695,"Assorted Camo Design Paracord Bracelet Kit with Buckles 10ft Each",181413,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Paracord & Paracord Supplies",19,10,0,9,,"Number in Pack; Number of Strands; Suitable For; Tensile Strength; California Prop 65 Warning; Item Weight; Rope Diameter; Unit Quantity; Unit Type"
9,256525915710,"4pk Heavy Duty AA Steadfast Batteries",50602,"Consumer Electronics|Multipurpose Batteries & Power|Single Use Batteries",14,5,0,9,,"Battery Size; Chemical Composition; Voltage; Amp Hours; Application; Unit Quantity; Unit Type; Manufacturer Warranty; Expiration Date"
9,256525915724,"6 Pack Utility Knives Home and Office Razor Blades",39057,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Knives & Blades",19,10,0,9,,"Number of Pieces; Handle Material; Blade Material; Blade Width; Manufacturer Warranty; Item Diameter; Item Weight; Unit Quantity; Unit Type"
9,256525915735,"ASR Outdoor 6 Piece 6.5 Inch Ninja Kunai Set Assorted Colors With Sheath Set",73522,"Collectibles|Knives, Swords & Blades|Collectible Fixed Blade Knives|Modern Fixed Blade|Factory Manufactured",15,6,0,9,,"Blade Color; Blade Type; Tang; Handle Material; Blade Length; Blade Material; Blade Edge; Original/Reproduction; Dexterity"
9,256525915904,"Extendable Flexible Feather Duster For Home And Office Cleaning - Green",29509,"Home & Garden|Household Supplies & Cleaning|Cleaning Tools|Cleaning Towels & Cloths",20,11,0,9,,"For; Capacity; Features; Number in Pack; Item Weight; California Prop 65 Warning; Theme; Unit Quantity; Unit Type"
8,254913999821,"Diamond Coated Flat File Set 6 Different Grits 7""",178974,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Files",19,11,0,8,,"Coarseness; Cut; Manufacturer Warranty; Item Diameter; California Prop 65 Warning; Item Weight; Unit Quantity; Unit Type"
8,255457181082,"GEAR AID Seam Grip Waterproof Sealant Adhesive for Tents, Outdoors, Clear, 1 oz",36120,"Sporting Goods|Camping & Hiking|Tents & Canopies|Tent & Canopy Accessories",16,8,0,8,,"Features; Number in Pack; Mounting Type; Suitable For; Item Weight; California Prop 65 Warning; Unit Quantity; Unit Type"
8,256264332056,"GEAR AID Aquaseal FD Flexible Durable Repair Adhesive, Cure Accelerator, 0.75 oz",36120,"Sporting Goods|Camping & Hiking|Tents & Canopies|Tent & Canopy Accessories",16,8,0,8,,"Features; Number in Pack; Mounting Type; Suitable For; Item Weight; California Prop 65 Warning; Unit Quantity; Unit Type"
8,256376275265,"GEAR AID Seam Grip WP Field Repair Kit for Tents and Outdoor Gear, Clear 0.25 oz",36120,"Sporting Goods|Camping & Hiking|Tents & Canopies|Tent & Canopy Accessories",16,8,0,8,,"Features; Number in Pack; Mounting Type; Suitable For; Item Weight; California Prop 65 Warning; Unit Quantity; Unit Type"
8,256446183297,"GEAR AID Tenacious Tape Reflective, Jackets, Outdoor Gear, 3"" x 20"", Silver",36120,"Sporting Goods|Camping & Hiking|Tents & Canopies|Tent & Canopy Accessories",16,8,0,8,,"Features; Number in Pack; Mounting Type; Suitable For; Item Weight; California Prop 65 Warning; Unit Quantity; Unit Type"
8,256446183453,"GEAR AID Tenacious Tape Silnylon Patches for Silicone Tent, Tarp Repair, 3""x5""",36120,"Sporting Goods|Camping & Hiking|Tents & Canopies|Tent & Canopy Accessories",16,8,0,8,,"Features; Number in Pack; Mounting Type; Suitable For; Item Weight; California Prop 65 Warning; Unit Quantity; Unit Type"
8,256446183505,"GEAR AID Tenacious Tape Wildlife Patches for Jackets, Tent, Gear Repair 3"" x 20""",36120,"Sporting Goods|Camping & Hiking|Tents & Canopies|Tent & Canopy Accessories",16,8,0,8,,"Features; Number in Pack; Mounting Type; Suitable For; Item Weight; California Prop 65 Warning; Unit Quantity; Unit Type"
8,256470618745,"GEAR AID Tenacious Tape Reflective Patches for Jackets, Outdoor Gear, Silver",36120,"Sporting Goods|Camping & Hiking|Tents & Canopies|Tent & Canopy Accessories",16,8,0,8,,"Features; Number in Pack; Mounting Type; Suitable For; Item Weight; California Prop 65 Warning; Unit Quantity; Unit Type"
8,256495157311,"GEAR AID Tenacious Tape Repair for Tents and Vinyl, Clear Roll, 1.5""x 60""",36120,"Sporting Goods|Camping & Hiking|Tents & Canopies|Tent & Canopy Accessories",16,8,0,8,,"Features; Number in Pack; Mounting Type; Suitable For; Item Weight; California Prop 65 Warning; Unit Quantity; Unit Type"
8,256504787666,"Unisex Razor Comb Home Hair Cut Thinning Trimming with Extra Blades",101915,"Health & Beauty|Salon & Spa Equipment|Scissors & Shears",17,9,0,8,,"Suitable For; Hair Type; Manufacturer Warranty; Shape; Department; California Prop 65 Warning; Unit Quantity; Unit Type"
8,256508244506,"Precision Jeweler Eye Glasses Flat Tip Screw Driver - 7pc",262020,"Jewelry & Watches|Jewelry Care, Design & Repair|Jewelry Tools & Workbenches",12,4,0,8,,"Suitable For; Material; Set Includes; Seller Warranty; California Prop 65 Warning; MPN; Unit Quantity; Unit Type"
8,256510041675,"7 in 1 Survival Whistle Multi-Case with LED Flashlight Compass Mirror - Green",181415,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Other Outdoor Survival Gear",18,10,0,8,,"Suitable For; Set Includes; Material; Vintage; California Prop 65 Warning; Item Weight; Unit Quantity; Unit Type"
8,256510047923,"SE JT114RS 10"" Aluminum Ring Stick",262020,"Jewelry & Watches|Jewelry Care, Design & Repair|Jewelry Tools & Workbenches",12,4,0,8,,"Suitable For; Material; Set Includes; Seller Warranty; California Prop 65 Warning; MPN; Unit Quantity; Unit Type"
8,256510047928,"GEAR AID Tenacious Tape Mesh Patches for Tent and Bug Screen Repair, 3"" Rounds",36120,"Sporting Goods|Camping & Hiking|Tents & Canopies|Tent & Canopy Accessories",16,8,0,8,,"Features; Number in Pack; Mounting Type; Suitable For; Item Weight; California Prop 65 Warning; Unit Quantity; Unit Type"
8,256511081582,"GEAR AID Tent Waterproofing Spray and Sealer for Nylon Tents, Fast Cure Kit",36120,"Sporting Goods|Camping & Hiking|Tents & Canopies|Tent & Canopy Accessories",16,8,0,8,,"Number in Pack; Color; Mounting Type; Suitable For; Item Weight; California Prop 65 Warning; Unit Quantity; Unit Type"
8,256515004658,"GEAR AID Seam Grip TF Tent Fabric Sealer for Waterproofing, Clear, 4 fl oz",36120,"Sporting Goods|Camping & Hiking|Tents & Canopies|Tent & Canopy Accessories",16,8,0,8,,"Features; Number in Pack; Mounting Type; Suitable For; Item Weight; California Prop 65 Warning; Unit Quantity; Unit Type"
8,256525915570,"Black Stretch Cord Utility Tie with Black Ball - 100 Pack",36120,"Sporting Goods|Camping & Hiking|Tents & Canopies|Tent & Canopy Accessories",16,8,0,8,,"Number in Pack; Color; Mounting Type; Suitable For; Item Weight; California Prop 65 Warning; Unit Quantity; Unit Type"
8,256525915685,"Assorted Button Cell Batteries for Electronic Repairs 30 Piece",50602,"Consumer Electronics|Multipurpose Batteries & Power|Single Use Batteries",14,6,0,8,,"Battery Size; Amp Hours; Application; Unit Quantity; Unit Type; Manufacturer Warranty; Expiration Date; California Prop 65 Warning"
8,256525915704,"Artist Painting Brushes Set Assorted Sizes 15pc",57209,"Crafts|Art Supplies|Painting Supplies|Artists Brushes",13,5,0,8,,"Medium; Bristle Material; Brush Shape; Handle Type; Handmade; California Prop 65 Warning; Unit Quantity; Unit Type"
8,256525915736,"Helping Hand Magnifier Heavy Duty Soldering Station - 4x Magnification",262020,"Jewelry & Watches|Jewelry Care, Design & Repair|Jewelry Tools & Workbenches",12,4,0,8,,"Suitable For; Material; Set Includes; Seller Warranty; California Prop 65 Warning; MPN; Unit Quantity; Unit Type"
8,256525915738,"Universal Hobby Rotary Tool Set w/ Revolving Stand - 276pc",262020,"Jewelry & Watches|Jewelry Care, Design & Repair|Jewelry Tools & Workbenches",12,4,0,8,,"Suitable For; Material; Set Includes; Seller Warranty; California Prop 65 Warning; MPN; Unit Quantity; Unit Type"
8,256525915757,"Wood Rasp Coarse Cut Riffler File Set Double Ended Bearing Steel 175mm 10pc",178974,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Files",19,11,0,8,,"Coarseness; Cut; Manufacturer Warranty; Item Diameter; California Prop 65 Warning; Item Weight; Unit Quantity; Unit Type"
8,256525915760,"Kidplokio 8pc Urban City Police Friction Powered Toy Cars with Play Mat, Blue,",19100,"Toys & Hobbies|Games|Board & Traditional Games|Vintage Manufacture",14,6,0,8,,"Game Title; Game Type; Theme; Min. Number of Players; Age Level; Award; Recommended Age Range; Vintage"
8,256525915776,"Jewelers Eye Loupe 14X Magnification for Precision Hobby Arts and Craft Projects",262020,"Jewelry & Watches|Jewelry Care, Design & Repair|Jewelry Tools & Workbenches",12,4,0,8,,"Suitable For; Material; Set Includes; Seller Warranty; California Prop 65 Warning; MPN; Unit Quantity; Unit Type"
8,256525915849,"ASR Outdoor Heavy Duty Camp Axe Hatchet with Sheath- Survival Prep",75234,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Camping Hatchets & Axes",19,11,0,8,,"Blade Length; Blade Material; Handle Length; Handle Material; Manufacturer Warranty; Item Weight; Unit Quantity; Unit Type"
8,256525915880,"12pc Professional Wood Carving Chisel Set Various Blades Woodworking Clay and",178972,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Chisels",19,11,0,8,,"Handle Material; Blade Material; Blade Width; Manufacturer Warranty; Item Diameter; Item Weight; Unit Quantity; Unit Type"
8,256525915907,"Unisex Razor Comb Home Hair Cut Thinning Feathering Trimming 6 Extra Blades 4pk",101915,"Health & Beauty|Salon & Spa Equipment|Scissors & Shears",17,9,0,8,,"Suitable For; Hair Type; Manufacturer Warranty; Shape; Department; California Prop 65 Warning; Unit Quantity; Unit Type"
7,256249413299,"GEAR AID Camo Form Self-Cling Reusable Camouflage Wrap 2"" x 144"", Various Colors",177911,"Sporting Goods|Hunting|Blinds & Tree Stands|Camouflage Materials",16,9,0,7,,"Camo Pattern; Material; Features; California Prop 65 Warning; Item Weight; Unit Quantity; Unit Type"
7,256446183403,"4 Pack Universal Tool Tempered Steel Salon Hairdressing Barber Scissor 5.5 inch",101915,"Health & Beauty|Salon & Spa Equipment|Scissors & Shears",17,10,0,7,,"Suitable For; Hair Type; Manufacturer Warranty; Shape; Department; Unit Quantity; Unit Type"
7,256446183545,"GEAR AID Elastic Shock Cord for Tent Poles and Jackets, 84"", Black",36120,"Sporting Goods|Camping & Hiking|Tents & Canopies|Tent & Canopy Accessories",16,9,0,7,,"Number in Pack; Mounting Type; Suitable For; Item Weight; California Prop 65 Warning; Unit Quantity; Unit Type"
7,256462854889,"ASR Outdoor Stainless Steel Machete 15.5 Inch Serrated Blade Paracord Handle",73522,"Collectibles|Knives, Swords & Blades|Collectible Fixed Blade Knives|Modern Fixed Blade|Factory Manufactured",15,8,0,7,,"Blade Color; Blade Type; Tang; Handle Material; Blade Edge; Original/Reproduction; Dexterity"
7,256508244336,"Two Sided Knife Sharpener Sharpening Stone 8""",43220,"Collectibles|Knives, Swords & Blades|Blade Parts, Supplies & Accs|Blade Sharpeners & Stones",10,3,0,7,,"Color; Blade Material; Handle Material; Original/Reproduction; Tang; Dexterity; California Prop 65 Warning"
7,256508244348,"Disposable Towels Compact Compressed Biodegradable and Unscented - 12 Pack",29509,"Home & Garden|Household Supplies & Cleaning|Cleaning Tools|Cleaning Towels & Cloths",20,13,0,7,,"For; Capacity; Number in Pack; Item Weight; Theme; Unit Quantity; Unit Type"
7,256508244430,"Large Translucent Waterproof Camping Storage Container -  5.5 Inch",181415,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Other Outdoor Survival Gear",18,11,0,7,,"Suitable For; Set Includes; Vintage; California Prop 65 Warning; Item Weight; Unit Quantity; Unit Type"
7,256508244468,"10pc Sterile Surgical Grade Replacement Scalpel Blades Universal Fit - Size 11",104229,"Business & Industrial|Healthcare, Lab & Dental|Handpieces & Instruments|Scalpels, Surgical Blades & Handles",12,5,0,7,,"Product; Blade Number; Handle Number; Intended Use/Discipline; Expiration Date; Unit Quantity; Unit Type"
7,256510041773,"Metal Detector 12"" Serrated Edge Digger, Garden Weed Lawn Mower Tool",118867,"Home & Garden|Yard, Garden & Outdoor Living|Garden Hand Tools & Equipment|Garden Tool Sets",23,16,0,7,,"System of Measurement; Case Type; Finish; Personalize; California Prop 65 Warning; Manufacturer Warranty; Personalization Instructions"
7,256510041808,"Home Essentials Nail Files Buffers Emery Boards Beauty Tools Set Mani Pedi 18pc",11872,"Health & Beauty|Nail Care, Manicure & Pedicure|Nail Care Tools|Manicure & Pedicure Tools & Kits",16,9,0,7,,"Set Includes; Power Source; Power; Personalize; Personalization Instructions; Unit Quantity; Unit Type"
7,256510047597,"Seam Grip SIL Silicone Sealant and Silnylon Patches for Silnylon Tents and Tarps",36120,"Sporting Goods|Camping & Hiking|Tents & Canopies|Tent & Canopy Accessories",16,9,0,7,,"Number in Pack; Mounting Type; Suitable For; Item Weight; California Prop 65 Warning; Unit Quantity; Unit Type"
7,256510047690,"Fingerlings Secret Diary Girls Journal Set",45112,"Business & Industrial|Office|Office Supplies|Calendars & Planners|Blank Diaries & Journals",10,3,0,7,,"Cover Material; Special Attributes; Personalized; Signed; California Prop 65 Warning; Unit Quantity; Unit Type"
7,256510047719,"ASR Outdoor Elastic Shock Cord Natural Rubber 30 Feet 3mm Diameter - Black",109492,"Business & Industrial|Fasteners & Hardware|Clamps, Ties & Cords|Shock Cords & Bungees",16,9,0,7,,"Stretched Bungee Length; Hook Material; Tensile Strength; Unit Quantity; Unit Type; Number in Pack; Manufacturer Warranty"
7,256510047921,"Universal Tool Ice Tempered S Steel Salon Hairdressing Barber Scissor 5.5 inch",101915,"Health & Beauty|Salon & Spa Equipment|Scissors & Shears",17,10,0,7,,"Suitable For; Hair Type; Manufacturer Warranty; Shape; Department; Unit Quantity; Unit Type"
7,256510047926,"ToolTreaux Beauty Tool Kit Nail Clipper Brush Eyelash Curler Pore Cleaner - 9pc",11872,"Health & Beauty|Nail Care, Manicure & Pedicure|Nail Care Tools|Manicure & Pedicure Tools & Kits",16,9,0,7,,"Set Includes; Power Source; Power; Personalize; Personalization Instructions; Unit Quantity; Unit Type"
