aspect,gap_count,category,action,candidate_column
"Chain Type",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Charm Type",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Diamond Color Grade",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Main Stone",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Main Stone Creation",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Main Stone Shape",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Main Stone Treatment",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Metal Purity",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Number of Diamonds",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Setting Style",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Total Carat Weight",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Max. Number of Players",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Belt Width",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Package Quantity",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Abrasive Material",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Cutting Diameter",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Cutting Edge Style",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Shank Diameter",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Lead Length",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Blade Size",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Number of Windows",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Waterproof Rating",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Window Dimensions",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Beverage Type",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Measurement Provided",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Insulation,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"TOG Rating",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Ages,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Mechanism Color",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Mechanism Included",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Number of Sides",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Cable Thickness",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Closure Type",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Drop Length",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Educational Level",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Level,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Band Color",1,candidate_export,"EXPORT (mapped column never pulled)",band_color_amazon
"Band Material",1,candidate_export,"EXPORT (mapped column never pulled)",band_material_amazon
"Band Width",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Bezel Color",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Bezel Type",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Case Color",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Case Finish",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Case Size",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Case Thickness",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Caseback,1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Dial Color",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Dial Pattern",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Escapement Type",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
Handedness,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Indices,1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Lug Width",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Max Wrist Size",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Number of Jewels",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Reference Number",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Watch Shape",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Water Resistance",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"With Manual/Booklet",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"With Original Box/Packaging",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"With Papers",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Lot (Y/N)",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Number of Channels",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
System,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Color Style",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Brush Shape",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Blade Material",1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",blade_material_ebay|blade_material_type_amazon
"Blade Number",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Format,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Bulb Wattage",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Focal Length",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Lens Diameter",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Lens Diopter",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Hook Material",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Stretched Bungee Length",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Visible Logo",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Engine Size",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Engine Type",1,candidate_export,"EXPORT (mapped column never pulled)",engine_type_amazon
"Guide Bar Length",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Horsepower,1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Styling Effect",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Tools Included",1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",package_includes
"Compatible Doll Size",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Doll Age Group",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Backstamp,1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Production Style",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Production Technique",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Solder Type",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Folded Dimensions",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Seat Material",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Tabletop Material",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Fish Species",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Seat Depth",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Seating Capacity",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Star Size",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Bridge Width",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Frame Width",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Lens Height",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Lens Technology",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Lens Width",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Temple Length",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"UV Protection",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Tube Diameter",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Title,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Type of Oven",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Genre,1,candidate_export,"EXPORT (mapped column never pulled)",genre|genre_amazon
Packaging,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Theme Park/Store",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Battery Type",1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",battery_technology_ebay
Orientation,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Bulb Shape Code",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Shade Shape",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Alphabet Cream Type",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Coverage,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Lash Length",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Glove Coating Material",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Number of Slots",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Blade Diameter",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Material Cut",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Control Style",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Cord Color",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Required Tools",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Chemical Composition",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Game Type",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Control,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Corded/Cordless,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Max Blade Diameter",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Speed,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Head/Face Material",1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",head_material_type_amazon
Action,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Battery Capacity",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Cover Material",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Number of Guns",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Number of Keys",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Item Thickness",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Softness,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Bristle Material",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Counterfeit Detection Equipment Type",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Intended Use/Discipline",1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",intended_use|suitable_for
"Cord Type",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Lighting Technology",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Glasses Size",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Lens Treatment",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Grip Material",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Usage,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
